1
28 0x689F38 1 000 000
012 000 0xffffff 009 001 0xffffff
009 001 0xffffff 007 002 0xffffff
007 002 0xffffff 005 005 0xffffff
005 005 0xffffff 004 008 0xffffff
004 008 0xffffff 005 016 0xffffff
005 016 0xffffff 007 027 0xffffff
007 027 0xffffff 004 027 0xffffff
004 027 0xffffff 002 023 0xffffff
002 023 0xffffff 000 027 0xffffff
000 027 0xffffff 000 030 0xffffff
000 030 0xffffff 007 030 0xffffff
007 030 0xffffff 009 038 0xffffff
009 038 0xffffff 010 039 0xffffff
010 039 0xffffff 012 040 0xffffff
012 040 0xffffff 014 039 0xffffff
014 039 0xffffff 015 038 0xffffff
015 038 0xffffff 017 030 0xffffff
017 030 0xffffff 024 030 0xffffff
024 030 0xffffff 024 027 0xffffff
024 027 0xffffff 022 023 0xffffff
022 023 0xffffff 020 027 0xffffff
020 027 0xffffff 017 027 0xffffff
017 027 0xffffff 019 016 0xffffff
019 016 0xffffff 020 008 0xffffff
020 008 0xffffff 019 005 0xffffff
019 005 0xffffff 017 002 0xffffff
017 002 0xffffff 015 001 0xffffff
015 001 0xffffff 012 000 0xffffff
