1
16 0xffcc00 1 000 000
000 100 0xff9000 060 120 0xff9000
060 120 0xff9000 020 180 0xff9000
020 180 0xff9000 080 140 0xff9000
080 140 0xff9000 100 200 0xff9000
100 200 0xff9000 120 140 0xff9000
120 140 0xff9000 180 180 0xff9000
180 180 0xff9000 140 120 0xff9000
140 120 0xff9000 200 100 0xff9000
200 100 0xff9000 140 080 0xff9000
140 080 0xff9000 180 020 0xff9000
180 020 0xff9000 120 060 0xff9000
120 060 0xff9000 100 000 0xff9000
100 000 0xff9000 080 060 0xff9000
080 060 0xff9000 020 020 0xff9000
020 020 0xff9000 060 080 0xff9000
060 080 0xff9000 000 100 0xff9000
