1
20 0x616161 1 0 0
000 010 0xffffff 001 014 0xffffff
001 014 0xffffff 002 016 0xffffff
002 016 0xffffff 004 018 0xffffff
004 018 0xffffff 006 019 0xffffff
006 019 0xffffff 010 020 0xffffff
010 020 0xffffff 014 019 0xffffff
014 019 0xffffff 016 018 0xffffff
016 018 0xffffff 018 016 0xffffff
018 016 0xffffff 019 014 0xffffff
019 014 0xffffff 020 010 0xffffff
020 010 0xffffff 019 006 0xffffff
019 006 0xffffff 018 004 0xffffff
018 004 0xffffff 016 002 0xffffff
016 002 0xffffff 014 001 0xffffff
014 001 0xffffff 010 000 0xffffff
010 000 0xffffff 006 001 0xffffff
006 001 0xffffff 004 002 0xffffff
004 002 0xffffff 002 004 0xffffff
002 004 0xffffff 001 006 0xffffff
001 006 0xffffff 000 010 0xffffff
